id,area,titulo,prioridad,cuenta,precondiciones,pasos,esperado,automatizable,resultado,tester,fecha,notas
S1,Smoke,Abrir app instalada → login o Hoy,P0,Cualquiera,PWA instalada,Abrir desde icono,Login o Hoy,E2E,,,,
S2,Smoke,Login válido → Hoy,P0,Free/Prem,Usuario confirmado,Email+password correctos,/app-recetas/hoy con nav,E2E,,,,
S3,Smoke,Bottom nav 5 tabs,P0,Cualquiera,Sesión,Pulsar Hoy Plan Escáner Guardadas Perfil,Cada tab abre su pantalla,E2E,,,,
S4,Smoke,Escáner 1 ingrediente manual,P0,Free/Prem,Cuota disponible,Añadir pollo → generar,Opciones de receta,E2E+mock IA,,,,
S5,Smoke,Guardar receta → Guardadas,P0,Cualquiera,Resultado generado,Guardar,Aparece en Guardadas,E2E,,,,
S6,Smoke,Asignar al plan,P0,Cualquiera,Receta guardada,Asignar a slot,Visible en Plan,E2E,,,,
S7,Smoke,Hoy refleja comida,P0,Cualquiera,Comida en plan hoy,Abrir Hoy,Comida visible,E2E,,,,
S8,Smoke,Logout,P0,Cualquiera,Sesión,Cerrar sesión,Vuelve a acceso,E2E,,,,
TC-ACC-01,Acceso,Landing pública,P2,N/A,Ninguna,Abrir /; idioma; CTAs,Carga sin 500; CTAs ok,E2E,,,,
TC-ACC-02,Acceso,Desktop → pantalla móvil,P2,N/A,Desktop,/descargar-app,QR / optimizado móviles,E2E,,,,
TC-ACC-03,Acceso,Gate instalación PWA,P0,N/A,Móvil no standalone,Abrir app sin instalar; instalar; reabrir,Pide instalar; luego login/Hoy,Manual,,,,
TC-ACC-04,Acceso,Clave privada,P1,N/A,Entorno con key,Sin ?k= y con ?k=,Bloqueo / acceso,E2E,,,,
TC-AUTH-01,Auth,Registro cuenta nueva,P0,Nueva,Email libre,Signup + confirm email,Cuenta creada,Semi (email manual),,,,
TC-AUTH-02,Auth,Login correcto,P0,Confirmado,Usuario válido,Login,Hoy + nav,E2E,,,,
TC-AUTH-03,Auth,Login incorrecto,P1,Cualquiera,—,Password mala,Error; no entra,E2E,,,,
TC-AUTH-04,Auth,Recuperar contraseña,P1,Confirmado,Email válido,Forgot → email → reset → login,Nueva pass funciona,Semi,,,,
