capacidad,free,premium,notas
Planificar comidas manualmente,Sí,Sí,
Lista de compras,Sí,Sí,
Agua / retos / parámetros / dieta,Sí,Sí,
Generaciones receta IA,Limitadas (5),Ampliado / ilimitado,FREE_GENERATIONS_LIMIT=5
Filtros avanzados escáner,Limitados,Completos,Free típico: almuerzo/mediterránea/2/fácil
Foto real del plato,No,Sí (crédito limitado),Normalmente 1 uso
Proponer/completar menú del día IA,No,Sí,Hoy y Plan
Comida fuera,No,Sí,
Dosis Inteligente / Coach,Teaser + pase 24h,Sí,
Desde Instagram en picker plan,Bloqueado,Sí,
Código / pase 24h,Canjeable,—,Perfil o paywall
Suscripción Stripe,Upgrade,Portal gestión,
